"","tdf_stages.Stage","tdf_stages.Date","tdf_stages.Distance","tdf_stages.Origin","tdf_stages.Destination","tdf_stages.Type","tdf_stages.Winner","tdf_stages.Winner_Country"
"132","6",2011-07-07,226.5,"Dinan","Lisieux","Flat stage","Edvald Boasson Hagen","NOR"
"133","7",2011-07-08,218,"Le Mans","Châteauroux","Flat stage","Mark Cavendish","GBR"
"134","8",2011-07-09,189,"Aigurande","Super Besse","Medium mountain stage","Rui Costa","POR"
"135","9",2011-07-10,208,"Issoire","Saint-Flour","Medium mountain stage","Luis León Sánchez","ESP"
"136","10",2011-07-12,158,"Aurillac","Carmaux","Flat stage","André Greipel","GER"
"137","11",2011-07-13,167.5,"Blaye-les-Mines","Lavaur","Flat stage","Mark Cavendish","GBR"
"138","12",2011-07-14,211,"Cugnaux","Luz Ardiden","High mountain stage","Samuel Sánchez","ESP"
"139","13",2011-07-15,152.5,"Pau","Lourdes","High mountain stage","Thor Hushovd","NOR"
"140","14",2011-07-16,168.5,"Saint-Gaudens","Plateau de Beille","High mountain stage","Jelle Vanendert","BEL"
"141","15",2011-07-17,192.5,"Limoux","Montpellier","Flat stage","Mark Cavendish","GBR"
"142","16",2011-07-19,162.5,"Saint-Paul-Trois-Châteaux","Gap","Medium mountain stage","Thor Hushovd","NOR"
"143","17",2011-07-20,179,"Gap","Pinerolo","High mountain stage","Edvald Boasson Hagen","NOR"
"144","18",2011-07-21,200.5,"Pinerolo","Col du Galibier-Serre Chevalier","High mountain stage","Andy Schleck","LUX"
"145","19",2011-07-22,109.5,"Modane","Alpe d'Huez","High mountain stage","Pierre Rolland","FRA"
"146","20",2011-07-23,42.5,"Grenoble","Grenoble","Individual time trial","Tony Martin","GER"
"147","21",2011-07-24,95,"Créteil","Paris","Flat stage","Mark Cavendish","GBR"
"148","P",2010-07-03,8.9,"Rotterdam","Rotterdam","Individual time trial","Fabian Cancellara","SUI"
"149","1",2010-07-04,223.5,"Rotterdam","Brussels","Flat stage","Alessandro Petacchi","ITA"
"150","2",2010-07-05,201,"Brussels","Spa","Flat stage","Sylvain Chavanel","FRA"
"151","3",2010-07-06,213,"Wanze","Arenberg Porte du Hainaut","Flat cobblestone stage","Thor Hushovd","NOR"
