"","tdf_stages.Stage","tdf_stages.Date","tdf_stages.Distance","tdf_stages.Origin","tdf_stages.Destination","tdf_stages.Type","tdf_stages.Winner","tdf_stages.Winner_Country"
"152","4",2010-07-07,153.5,"Cambrai","Reims","Flat stage","Alessandro Petacchi","ITA"
"153","5",2010-07-08,187.5,"Épernay","Montargis","Flat stage","Mark Cavendish","GBR"
"154","6",2010-07-09,227.5,"Montargis","Gueugnon","Flat stage","Mark Cavendish","GBR"
"155","7",2010-07-10,165.5,"Tournus","Station des Rousses","Medium mountain stage","Sylvain Chavanel","FRA"
"156","8",2010-07-11,189,"Station des Rousses","Morzine-Avoriaz","Mountain stage","Andy Schleck","LUX"
"157","9",2010-07-13,204.5,"Morzine-Avoriaz","Saint-Jean-de-Maurienne","Mountain stage","Sandy Casar","FRA"
"158","10",2010-07-14,179,"Chambéry","Gap","Medium mountain stage","Sérgio Paulinho","POR"
"159","11",2010-07-15,184.5,"Sisteron","Bourg-lès-Valence","Flat stage","Mark Cavendish","GBR"
"160","12",2010-07-16,210.5,"Bourg-de-Péage","Mende","Medium mountain stage","Joaquim Rodríguez","ESP"
"161","13",2010-07-17,196,"Rodez","Revel","Flat stage","Alexander Vinokourov","KAZ"
"162","14",2010-07-18,184.5,"Revel","Ax 3 Domaines","Mountain stage","Christophe Riblon","FRA"
"163","15",2010-07-19,187.5,"Pamiers","Bagnères-de-Luchon","Mountain stage","Thomas Voeckler","FRA"
"164","16",2010-07-20,199.5,"Bagnères-de-Luchon","Pau","Mountain stage","Pierrick Fédrigo","FRA"
"165","17",2010-07-22,174,"Pau","Col du Tourmalet","Mountain stage","Andy Schleck","LUX"
"166","18",2010-07-23,198,"Salies-de-Béarn","Bordeaux","Flat stage","Mark Cavendish","GBR"
"167","19",2010-07-24,52,"Bordeaux","Pauillac","Individual time trial","Fabian Cancellara","SUI"
"168","20",2010-07-25,102.5,"Longjumeau","Paris","Flat stage","Mark Cavendish","GBR"
"169","1",2009-07-04,15.5,"Monaco","Monaco","Individual time trial","Fabian Cancellara","SUI"
"170","2",2009-07-05,187,"Monaco","Brignoles","Flat stage","Mark Cavendish","GBR"
"171","3",2009-07-06,196.5,"Marseille","La Grande-Motte","Flat stage","Mark Cavendish","GBR"
"172","4",2009-07-07,39,"Montpellier","Montpellier","Team time trial","Astana",NA
"173","5",2009-07-08,196.5,"Cap d'Agde","Perpignan","Flat stage","Thomas Voeckler","FRA"
"174","6",2009-07-09,181.5,"Girona","Barcelona","Flat stage","Thor Hushovd","NOR"
"175","7",2009-07-10,224,"Barcelona","Andorra-Arcalis","Mountain stage","Brice Feillu","FRA"
"176","8",2009-07-11,176.5,"Andorra la Vella","Saint-Girons","Mountain stage","Luis León Sánchez","ESP"
"177","9",2009-07-12,160.5,"Saint-Gaudens","Tarbes","Mountain stage","Pierrick Fédrigo","FRA"
"178","10",2009-07-14,194.5,"Limoges","Issoudun","Flat stage","Mark Cavendish","GBR"
"179","11",2009-07-15,192,"Vatan","Saint-Fargeau","Flat stage","Mark Cavendish","GBR"
"180","12",2009-07-16,211.5,"Tonnerre","Vittel","Flat stage","Nicki Sørensen","DEN"
"181","13",2009-07-17,200,"Vittel","Colmar","Medium mountain stage","Heinrich Haussler","GER"
"182","14",2009-07-18,199,"Colmar","Besançon","Flat stage","Sergei Ivanov","RUS"
"183","15",2009-07-19,207.5,"Pontarlier","Verbier","Mountain Stage","Alberto Contador","ESP"
"184","16",2009-07-21,159,"Martigny","Bourg-Saint-Maurice","Mountain Stage","Sandy Casar","FRA"
"185","17",2009-07-22,169.5,"Bourg-Saint-Maurice","Le Grand-Bornand","Mountain Stage","Fränk Schleck","LUX"
"186","18",2009-07-23,40.5,"Annecy","Annecy","Individual time trial","Alberto Contador","ESP"
"187","19",2009-07-24,178,"Bourgoin-Jallieu","Aubenas","Flat stage","Mark Cavendish","GBR"
"188","20",2009-07-25,167,"Montélimar","Mont Ventoux","Mountain stage","Juan Manuel Gárate","ESP"
"189","21",2009-07-26,164,"Montereau-Fault-Yonne","Paris","Flat stage","Mark Cavendish","GBR"
"190","1",2008-07-05,197.5,"Brest","Plumelec","Flat stage","Alejandro Valverde","ESP"
"191","2",2008-07-06,164.5,"Auray","Saint-Brieuc","Flat stage","Thor Hushovd","NOR"
"192","3",2008-07-07,208,"Saint-Malo","Nantes","Flat stage","Samuel Dumoulin","FRA"
"193","4",2008-07-08,29.5,"Cholet","Cholet","Individual time trial","Kim Kirchen","LUX"
"194","5",2008-07-09,232,"Cholet","Châteauroux","Flat stage","Mark Cavendish","GBR"
"195","6",2008-07-10,195.5,"Aigurande","Super-Besse Sancy","Transition stage","Alejandro Valverde","ESP"
"196","7",2008-07-11,159,"Brioude","Aurillac","Transition stage","Luis León Sánchez","ESP"
"197","8",2008-07-12,172.5,"Figeac","Toulouse","Flat stage","Mark Cavendish","GBR"
"198","9",2008-07-13,224,"Toulouse","Bagnères-de-Bigorre","Mountain stage","Vladimir Efimkin","RUS"
"199","10",2008-07-14,156,"Pau","Hautacam","Mountain stage","Juan José Cobo","ESP"
"200","11",2008-07-16,167.5,"Lannemezan","Foix","Transition stage","Kurt Asle Arvesen","NOR"
"201","12",2008-07-17,168.5,"Lavelanet","Narbonne","Flat stage","Mark Cavendish","GBR"
"202","13",2008-07-18,182,"Narbonne","Nîmes","Flat stage","Mark Cavendish","GBR"
"203","14",2008-07-19,194.5,"Nîmes","Digne-les-Bains","Flat stage","Óscar Freire","ESP"
"204","15",2008-07-20,183,"Embrun","Prato Nevoso","Mountain stage","Simon Gerrans","AUS"
"205","16",2008-07-22,157,"Cuneo","Jausiers","Mountain stage","Cyril Dessel","FRA"
"206","17",2008-07-23,210.5,"Embrun","Alpe d'Huez","Mountain stage","Carlos Sastre","ESP"
"207","18",2008-07-24,196.5,"Bourg-d'Oisans","Saint-Étienne","Transition stage","Marcus Burghardt","GER"
"208","19",2008-07-25,165.5,"Roanne","Montluçon","Flat stage","Sylvain Chavanel","FRA"
"209","20",2008-07-26,53,"Cérilly","Saint-Amand-Montrond","Individual time trial","Fabian Cancellara","SUI"
"210","21",2008-07-27,143,"Étampes","Paris","Flat stage","Gert Steegmans","BEL"
"211","P",2007-07-07,7.9,"London","London","Individual time trial","Fabian Cancellara","SUI"
"212","1",2007-07-08,203,"London","Canterbury","Plain stage","Robbie McEwen","AUS"
"213","2",2007-07-09,168.5,"Dunkirk","Ghent","Plain stage","Gert Steegmans","BEL"
"214","3",2007-07-10,236.5,"Waregem - Compiègne","Waregem - Compiègne","Plain stage","Fabian Cancellara","SUI"
"215","4",2007-07-11,193,"Villers-Cotterêts","Joigny","Plain stage","Thor Hushovd","NOR"
"216","5",2007-07-12,182.5,"Chablis","Autun","Intermediate stage","Filippo Pozzato","ITA"
"217","6",2007-07-13,199.5,"Semur-en-Auxois","Bourg-en-Bresse","Plain stage","Tom Boonen","BEL"
"218","7",2007-07-14,197.5,"Bourg-en-Bresse","Le Grand-Bornand","Mountain stage","Linus Gerdemann","GER"
"219","8",2007-07-15,165,"Le Grand-Bornand","Tignes","Mountain stage","Michael Rasmussen","DEN"
"220","9",2007-07-17,159.5,"Val-d'Isère","Briançon","Mountain stage","Mauricio Soler","COL"
"221","10",2007-07-18,229.5,"Tallard","Marseille","Plain stage","Cédric Vasseur","FRA"
"222","11",2007-07-19,182.5,"Marseille","Montpellier","Plain stage","Robert Hunter","RSA"
"223","12",2007-07-20,178.5,"Montpellier","Castres","Intermediate stage","Tom Boonen","BEL"
"224","13",2007-07-21,54,"Albi","Albi","Individual time trial","Cadel Evans[n 1]","AUS"
"225","14",2007-07-22,197,"Mazamet","Plateau-de-Beille","Mountain stage","Alberto Contador","ESP"
"226","15",2007-07-23,196,"Foix","Loudenvielle","Mountain stage","Kim Kirchen[n 1]","LUX"
"227","16",2007-07-25,218.5,"Orthez","Gourette–Col d'Aubisque","Mountain stage","Michael Rasmussen","DEN"
"228","17",2007-07-26,188.5,"Pau","Castelsarrasin","Intermediate stage","Daniele Bennati","ITA"
"229","18",2007-07-27,211,"Cahors","Angoulême","Plain stage","Sandy Casar","FRA"
"230","19",2007-07-28,55.5,"Cognac","Angoulême","Individual time trial","Levi Leipheimer","USA"
"231","20",2007-07-29,146,"Marcoussis","Paris","Plain stage","Daniele Bennati","ITA"
"232","P",2006-07-01,7.1,"Strasbourg","Strasbourg","Individual time trial","Thor Hushovd","NOR"
"233","1",2006-07-02,184.5,"Strasbourg","Strasbourg","Flat stage","Jimmy Casper","FRA"
"234","2",2006-07-03,228.5,"Obernai","Esch-sur-Alzette","Flat stage","Robbie McEwen","AUS"
"235","3",2006-07-04,216.5,"Esch-sur-Alzette","Valkenburg","Hilly stage","Matthias Kessler","GER"
"236","4",2006-07-05,207,"Huy","Saint-Quentin","Flat stage","Robbie McEwen","AUS"
"237","5",2006-07-06,225,"Beauvais","Caen","Flat stage","Óscar Freire","ESP"
"238","6",2006-07-07,189,"Lisieux","Vitré","Flat stage","Robbie McEwen","AUS"
"239","7",2006-07-08,52,"Saint Grégoire","Rennes","Individual time trial","Serhiy Honchar","UKR"
"240","8",2006-07-09,181,"Saint-Méen-le-Grand","Lorient","Flat stage","Sylvain Calzati","FRA"
"241","9",2006-07-11,169.5,"Bordeaux","Dax","Flat stage","Óscar Freire","ESP"
"242","10",2006-07-12,190.5,"Cambo-les-Bains","Pau","Mountain stage","Juan Miguel Mercado","ESP"
"243","11",2006-07-13,206.5,"Tarbes","Val d'Aran/Pla-de-Beret","Mountain stage","Denis Menchov","RUS"
"244","12",2006-07-14,211.5,"Luchon","Carcassonne","Hilly stage","Yaroslav Popovych","UKR"
"245","13",2006-07-15,230,"Béziers","Montélimar","Flat stage","Jens Voigt","GER"
"246","14",2006-07-16,180.5,"Montélimar","Gap","Hilly stage","Pierrick Fédrigo","FRA"
"247","15",2006-07-18,187,"Gap","Alpe d'Huez","Mountain stage","Fränk Schleck","LUX"
"248","16",2006-07-19,182,"Le Bourg-d'Oisans","La Toussuire","Mountain stage","Michael Rasmussen","DEN"
"249","17",2006-07-20,200.5,"Saint-Jean-de-Maurienne","Morzine","Mountain stage","Carlos Sastre","ESP"
"250","18",2006-07-21,197,"Morzine","Mâcon","Flat stage","Matteo Tosatto","ITA"
"251","19",2006-07-22,57,"Le Creusot","Montceau-les-Mines","Individual time trial","Serhiy Honchar","UKR"
"252","20",2006-07-23,154.5,"Antony/Parc de Sceaux","Paris","Flat stage","Thor Hushovd","NOR"
"253","1",2005-07-02,19,"Fromentine","Noirmoutier-en-l'Île","Individual time trial","David Zabriskie","USA"
"254","2",2005-07-03,181.5,"Challans","Les Essarts","Plain stage","Tom Boonen","BEL"
"255","3",2005-07-04,212.5,"La Châtaigneraie","Tours","Plain stage","Tom Boonen","BEL"
"256","4",2005-07-05,67.5,"Tours","Blois","Team time trial","Discovery Channel",NA
"257","5",2005-07-06,183,"Chambord","Montargis","Plain stage","Robbie McEwen","AUS"
"258","6",2005-07-07,199,"Troyes","Nancy","Plain stage","Lorenzo Bernucci","ITA"
"259","7",2005-07-08,228.5,"Lunéville","Karlsruhe","Plain stage","Robbie McEwen","AUS"
"260","8",2005-07-09,231.5,"Pforzheim","Gérardmer","Hilly stage","Pieter Weening","NED"
"261","9",2005-07-10,171,"Gérardmer","Mulhouse","Hilly stage","Michael Rasmussen","DEN"
"262","10",2005-07-12,177,"Grenoble","Courchevel","Mountain stage","Alejandro Valverde","ESP"
"263","11",2005-07-13,173,"Courchevel","Briançon","Mountain stage","Alexander Vinokourov","KAZ"
"264","12",2005-07-14,187,"Briançon","Digne-les-Bains","Hilly stage","David Moncoutié","FRA"
"265","13",2005-07-15,173.5,"Miramas","Montpellier","Plain stage","Robbie McEwen","AUS"
"266","14",2005-07-16,220.5,"Agde","Ax 3 Domaines","Mountain stage","Georg Totschnig","AUT"
"267","15",2005-07-17,205.5,"Lézat-sur-Lèze","Saint-Lary-Soulan Pla d'Adet","Mountain stage","George Hincapie","USA"
"268","16",2005-07-19,180.5,"Mourenx","Pau","Mountain stage","Óscar Pereiro","ESP"
"269","17",2005-07-20,239.5,"Pau","Revel","Plain stage","Paolo Savoldelli","ITA"
"270","18",2005-07-21,189,"Albi","Mende","Hilly stage","Marcos Antonio Serrano","ESP"
"271","19",2005-07-22,153.5,"Issoire","Le Puy-en-Velay","Hilly stage","Giuseppe Guerini","ITA"
"272","20",2005-07-23,55.5,"Saint-Étienne","Saint-Étienne","Individual time trial","Lance Armstrong[n 1]","USA"
"273","21",2005-07-24,144.5,"Corbeil-Essonnes","Paris","Plain stage","Alexander Vinokourov","KAZ"
"274","P",2004-07-03,6.1,"Liège","Liège","Individual time trial","Fabian Cancellara","SUI"
"275","1",2004-07-04,202.5,"Liège","Charleroi","Plain stage","Jaan Kirsipuu","EST"
"276","2",2004-07-05,197,"Charleroi","Namur","Plain stage","Robbie McEwen","AUS"
"277","3",2004-07-06,210,"Waterloo","Wasquehal","Plain stage","Jean-Patrick Nazon","FRA"
"278","4",2004-07-07,64.5,"Cambrai","Arras","Team time trial","U.S. Postal Service","USA"
"279","5",2004-07-08,200.5,"Amiens","Chartres","Plain stage","Stuart O'Grady","AUS"
"280","6",2004-07-09,196,"Bonneval","Angers","Plain stage","Tom Boonen","BEL"
"281","7",2004-07-10,204.5,"Châteaubriant","Saint-Brieuc","Plain stage","Filippo Pozzato","ITA"
"282","8",2004-07-11,168,"Lamballe","Quimper","Plain stage","Thor Hushovd","NOR"
"283","9",2004-07-13,160.5,"Saint-Léonard-de-Noblat","Guéret","Plain stage","Robbie McEwen","AUS"
"284","10",2004-07-14,237,"Limoges","Saint-Flour","Hilly stage","Richard Virenque","FRA"
"285","11",2004-07-15,164,"Saint-Flour","Figeac","Hilly stage","David Moncoutié","FRA"
"286","12",2004-07-16,197.5,"Castelsarrasin","La Mongie","Mountain stage","Ivan Basso","ITA"
"287","13",2004-07-17,205.5,"Lannemezan","Plateau de Beille","Mountain stage","Lance Armstrong[n 1]","USA"
"288","14",2004-07-18,192.5,"Carcassonne","Nîmes","Plain stage","Aitor González","ESP"
"289","15",2004-07-20,180.5,"Valréas","Villard-de-Lans","Mountain stage","Lance Armstrong[n 1]","USA"
"290","16",2004-07-21,15.5,"Le Bourg-d'Oisans","Alpe d'Huez","Individual time trial","Lance Armstrong[n 1]","USA"
"291","17",2004-07-22,204.5,"Le Bourg-d'Oisans","Le Grand-Bornand","Mountain stage","Lance Armstrong[n 1]","USA"
"292","18",2004-07-23,166.5,"Annemasse","Lons-le-Saunier","Hilly stage","Juan Miguel Mercado","ESP"
"293","19",2004-07-24,55,"Besançon","Besançon","Individual time trial","Lance Armstrong[n 1]","USA"
"294","20",2004-07-25,163,"Montereau-Fault-Yonne","Paris","Plain stage","Tom Boonen","BEL"
"295","P",2003-07-05,6.5,"Paris","Paris","Individual time trial","Bradley McGee","AUS"
"296","1",2003-07-06,168,"Saint-Denis","Meaux","Plain stage","Alessandro Petacchi","ITA"
"297","2",2003-07-07,204.5,"La Ferté-sous-Jouarre","Sedan","Plain stage","Baden Cooke","AUS"
"298","3",2003-07-08,167.5,"Charleville-Mézières","Saint-Dizier","Plain stage","Alessandro Petacchi","ITA"
"299","4",2003-07-09,69,"Joinville","Saint-Dizier","Team time trial","U.S. Postal Service","USA"
"300","5",2003-07-10,196.5,"Troyes","Nevers","Plain stage","Alessandro Petacchi","ITA"
"301","6",2003-07-11,230,"Nevers","Lyon","Plain stage","Alessandro Petacchi","ITA"
"302","7",2003-07-12,230.5,"Lyon","Morzine","Stage with mountain(s)","Richard Virenque","FRA"
"303","8",2003-07-13,219,"Sallanches","Alpe d'Huez","Stage with mountain(s)","Iban Mayo","ESP"
"304","9",2003-07-14,184.5,"Le Bourg-d'Oisans","Gap","Stage with mountain(s)","Alexander Vinokourov","KAZ"
"305","10",2003-07-15,219.5,"Gap","Marseille","Plain stage","Jakob Piil","DEN"
"306","11",2003-07-17,153.5,"Narbonne","Toulouse","Plain stage","Juan Antonio Flecha","ESP"
"307","12",2003-07-18,47,"Gaillac","Cap Découverte","Individual time trial","Jan Ullrich","GER"
"308","13",2003-07-19,197.5,"Toulouse","Ax 3 Domaines","Stage with mountain(s)","Carlos Sastre","ESP"
"309","14",2003-07-20,191.5,"Saint-Girons","Loudenvielle","Stage with mountain(s)","Gilberto Simoni","ITA"
"310","15",2003-07-21,159.5,"Bagnères-de-Bigorre","Luz Ardiden","Stage with mountain(s)","Lance Armstrong[n 1]","USA"
"311","16",2003-07-23,197.5,"Pau","Bayonne","Stage with mountain(s)","Tyler Hamilton","USA"
"312","17",2003-07-24,181,"Dax","Bordeaux","Plain stage","Servais Knaven","NED"
"313","18",2003-07-25,203.5,"Bordeaux","Saint-Maixent-l'École","Plain stage","Pablo Lastras","ESP"
"314","19",2003-07-26,49,"Pornic","Nantes","Individual time trial","David Millar","GBR"
"315","20",2003-07-27,152,"Ville-d'Avray","Paris","Plain stage","Jean-Patrick Nazon","FRA"
"316","P",2002-07-06,7,"Luxembourg City","Luxembourg City","Individual time trial","Lance Armstrong[n 1]","USA"
"317","1",2002-07-07,192.5,"Luxembourg City","Luxembourg City","Plain stage","Rubens Bertogliati","SUI"
"318","2",2002-07-08,181,"Luxembourg City","Saarbrücken","Plain stage","Óscar Freire","ESP"
"319","3",2002-07-09,174.5,"Metz","Reims","Plain stage","Robbie McEwen","AUS"
"320","4",2002-07-10,67.5,"Épernay","Château-Thierry","Team time trial","ONCE–Eroski",NA
"321","5",2002-07-11,195,"Soissons","Rouen","Plain stage","Jaan Kirsipuu","EST"
"322","6",2002-07-12,199.5,"Forges-les-Eaux","Alençon","Plain stage","Erik Zabel","GER"
"323","7",2002-07-13,176,"Bagnoles-de-l'Orne","Avranches","Plain stage","Bradley McGee","AUS"
"324","8",2002-07-14,217.5,"Saint-Martin-de-Landelles","Plouay","Plain stage","Karsten Kroon","NED"
"325","9",2002-07-15,52,"Lanester","Lorient","Individual time trial","Santiago Botero","COL"
"326","10",2002-07-17,147,"Bazas","Pau","Plain stage","Patrice Halgand","FRA"
"327","11",2002-07-18,158,"Pau","La Mongie","Stage with mountain(s)","Lance Armstrong[n 1]","USA"
"328","12",2002-07-19,199.5,"Lannemezan","Plateau de Beille","Stage with mountain(s)","Lance Armstrong[n 1]","USA"
"329","13",2002-07-20,171,"Lavelanet","Béziers","Plain stage","David Millar","GBR"
"330","14",2002-07-21,221,"Lodève","Mont Ventoux","Stage with mountain(s)","Richard Virenque","FRA"
"331","15",2002-07-23,226.5,"Vaison-la-Romaine","Les Deux Alpes","Hilly stage","Santiago Botero","COL"
"332","16",2002-07-24,179.5,"Les Deux Alpes","La Plagne","Stage with mountain(s)","Michael Boogerd","NED"
"333","17",2002-07-25,142,"Aime","Cluses","Stage with mountain(s)","Dario Frigo","ITA"
"334","18",2002-07-26,176.5,"Cluses","Bourg-en-Bresse","Hilly stage","Thor Hushovd","NOR"
"335","19",2002-07-27,50,"Régnié-Durette","Mâcon","Individual time trial","Lance Armstrong[n 1]","USA"
"336","20",2002-07-28,144,"Melun","Paris","Plain stage","Robbie McEwen","AUS"
"337","P",2001-07-07,8.2,"Dunkirk","Dunkirk","Individual time trial","Christophe Moreau","FRA"
"338","1",2001-07-08,194.5,"Saint-Omer","Boulogne-sur-Mer","Plain stage","Erik Zabel","GER"
"339","2",2001-07-09,220.5,"Calais","Antwerp","Plain stage","Marc Wauters","BEL"
"340","3",2001-07-10,198.5,"Antwerp","Seraing","Plain stage","Erik Zabel","GER"
"341","4",2001-07-11,215,"Huy","Verdun","Plain stage","Laurent Jalabert","FRA"
"342","5",2001-07-12,67,"Verdun","Bar-le-Duc","Team time trial","Crédit Agricole",NA
"343","6",2001-07-13,211.5,"Commercy","Strasbourg","Plain stage","Jaan Kirsipuu","EST"
"344","7",2001-07-14,162.5,"Strasbourg","Colmar","Hilly stage","Laurent Jalabert","FRA"
"345","8",2001-07-15,222.5,"Colmar","Pontarlier","Plain stage","Erik Dekker","NED"
"346","9",2001-07-16,185,"Pontarlier","Aix-les-Bains","Plain stage","Serguei Ivanov","RUS"
"347","10",2001-07-17,209,"Aix-les-Bains","Alpe d'Huez","Stage with mountain(s)","Lance Armstrong[n 1]","USA"
"348","11",2001-07-18,32,"Grenoble","Chamrousse","Individual time trial","Lance Armstrong[n 1]","USA"
"349","12",2001-07-20,166.5,"Perpignan","Plateau de Bonascre","Stage with mountain(s)","Félix Cárdenas","COL"
"350","13",2001-07-21,194,"Foix","Saint-Lary-Soulan Pla d'Adet","Stage with mountain(s)","Lance Armstrong[n 1]","USA"
"351","14",2001-07-22,141.5,"Tarbes","Luz Ardiden","Stage with mountain(s)","Roberto Laiseka","ESP"
"352","15",2001-07-24,232.5,"Pau","Lavaur","Plain stage","Rik Verbrugghe","BEL"
"353","16",2001-07-25,229.5,"Castelsarrasin","Sarran","Plain stage","Jens Voigt","GER"
"354","17",2001-07-26,194,"Brive-la-Gaillarde","Montluçon","Plain stage","Serge Baguet","BEL"
"355","18",2001-07-27,61,"Montluçon","Saint-Amand-Montrond","Individual time trial","Lance Armstrong[n 1]","USA"
"356","19",2001-07-28,149.5,"Orléans","Évry","Plain stage","Erik Zabel","GER"
"357","20",2001-07-29,160.5,"Corbeil-Essonnes","Paris","Plain stage","Ján Svorada","CZE"
"358","1",2000-07-01,16.5,"Futuroscope","Futuroscope","Individual time trial","David Millar","GBR"
"359","2",2000-07-02,194,"Futuroscope","Loudun","Plain stage","Tom Steels","BEL"
"360","3",2000-07-03,161.5,"Loudun","Nantes","Plain stage","Tom Steels","BEL"
"361","4",2000-07-04,70,"Nantes","Saint-Nazaire","Team time trial","ONCE–Deutsche Bank",NA
"362","5",2000-07-05,202,"Vannes","Vitré","Plain stage","Marcel Wüst","GER"
"363","6",2000-07-06,198.5,"Vitré","Tours","Plain stage","Leon van Bon","NED"
"364","7",2000-07-07,205.5,"Tours","Limoges","Plain stage","Christophe Agnolutto","FRA"
"365","8",2000-07-08,203.5,"Limoges","Villeneuve-sur-Lot","Plain stage","Erik Dekker","NED"
"366","9",2000-07-09,181,"Agen","Dax","Plain stage","Paolo Bettini","ITA"
"367","10",2000-07-10,205,"Dax","Hautacam","Stage with mountain(s)","Javier Otxoa","ESP"
"368","11",2000-07-11,218.5,"Bagnères-de-Bigorre","Revel","Hilly stage","Erik Dekker","NED"
"369","12",2000-07-13,149,"Carpentras","Mont Ventoux","Stage with mountain(s)","Marco Pantani","ITA"
"370","13",2000-07-14,185.5,"Avignon","Draguignan","Plain stage","José Vicente Garcia","ESP"
"371","14",2000-07-15,249.5,"Draguignan","Briançon","Stage with mountain(s)","Santiago Botero","COL"
"372","15",2000-07-16,173.5,"Briançon","Courchevel","Stage with mountain(s)","Marco Pantani","ITA"
"373","16",2000-07-18,196.5,"Courchevel","Morzine","Stage with mountain(s)","Richard Virenque","FRA"
"374","17",2000-07-19,155,"Évian-les-Bains","Lausanne","Hilly stage","Erik Dekker","NED"
"375","18",2000-07-20,246.5,"Lausanne","Freiburg","Plain stage","Salvatore Commesso","ITA"
"376","19",2000-07-21,58.5,"Freiburg","Mulhouse","Individual time trial","Lance Armstrong[n 1]","USA"
"377","20",2000-07-22,254.5,"Belfort","Troyes","Plain stage","Erik Zabel","GER"
"378","21",2000-07-23,138,"Paris","Paris","Plain stage","Stefano Zanini","ITA"
"379","P",1999-07-03,6.8,"Le Puy du Fou","Le Puy du Fou","Individual time trial","Lance Armstrong[n 1]","USA"
"380","1",1999-07-04,208,"Montaigu","Challans","Plain stage","Jaan Kirsipuu","EST"
